input_sd,output_sd
زڪوات ۽ عشر آرڊيننس ڪهڙا ضابطا شامل آهن؟,"زڪوات ۽ عشر آرڊيننس هيٺين معاملن تي ضابطن تي ٻڌل آهي: تعريف، مالي قاعدا، تقسيم وغيره."
"قرآن پاڪ جي اشاعت، ڇپائي ۽ رڪارڊنگ جي روڪ لاءِ ڪهڙا قانون آهن؟","قرآن پاڪ جي اشاعت، ڇپائي ۽ رڪارڊنگ جي روڪ لاءِ قانون ملڪ جي قانوني نظام تي دارومدار رکن ٿا."
تنسيخ نڪاح لاءِ ڪنهن سان صلاح ڪرڻ گهرجي؟,تنسيخ نڪاح جي درخواست ڏيڻ کان اڳ قانوني ماهر يا وڪيل سان صلاح ڪرڻ گهرجي.
زڪوات ۽ عشر جي ضرورت ڇو آهي؟,زڪوات ۽ عشر جي ادائيگي جو مقصد غربت ۽ ناانصافي گهٽائڻ آهي.
زڪوات ۽ عشر آرڊيننس ڪهڙي شيءِ کي ظاهر ڪري ٿي؟,زڪوات ۽ عشر آرڊيننس عام طور تي ملڪ جي قانون کي ظاهر ڪري ٿي.
"قرآن پاڪ جي اشاعت، ڇپائي ۽ رڪارڊنگ لاءِ ڪهڙا قانون ٿي سگهن ٿا؟","مختلف ملڪن ۾ قرآن پاڪ جي اشاعت، ڇپائي ۽ رڪارڊنگ لاءِ مختلف قانون ۽ ضابطا لاڳو ٿين ٿا."
عشر جو ديني مطلب ڇا آهي؟,عشر يا عُشر جو لفظي مطلب آهي ڏهون حصو.
قانون جي ڀڃڪڙي تي سزا جي مقدار ڇا هوندي؟,قانون جي ڀڃڪڙي تي سزا جو مقدار ان جي نوعيت تي دارومدار رکي ٿو.
وزارت جو موقف ڇا هو؟,وزارت جو موقف هو ته قرآن پاڪ جي بي حرمتي کان بچڻ لاءِ پاڪ اوراقن کي احترام سان محفوظ رکڻ ضروري آهي.
نئون ري سائيڪل ٿيل ڪاغذ ڪنهن لاءِ مخصوص ڪيو ويو؟,ڪميٽي کي ٻڌايو ويو ته نئون ري سائيڪل ٿيل ڪاغذ رڳو مقدس ڪتابن جي ڇپائي لاءِ مخصوص ڪيو ويندو.
قرآن ري سائيڪل مرڪز ڪڏهن تيار ٿيڻ گهرجي هو؟,"قرآن ري سائيڪل مرڪز 30 جون تائين تيار ٿيڻ گهرجي هو، پر خرچن ۾ 50٪ ڪٽوتي ٿي وئي آهي."
قرآن پاڪ جي شهيد اوراق تي ڪير ڪٽ لڳايو؟,پاڪ اوراق کي محفوظ ڪرڻ لاءِ به بجيٽ ۾ ڪٽوتي ڪئي وئي آهي.
قائمہ ڪميٽي قرآن پاڪ جي شهيد اوراق کي ٻيهر ترتيب ڏيڻ جو ڪم ڪيئن مڪمل ڪيو؟,"قائمہ ڪميٽي مذهبي معاملن لاءِ وزيراعظم کي خط لکڻ جو فيصلو ڪيو ته فنڊ ۾ گهٽتائي وارو فيصلو واپس ورتو وڃي، جيئن پاڪ اوراقن جي ري سائيڪلنگ جو ڪم مڪمل ٿي سگهي."
قائمہ ڪميٽي قرآن پاڪ ۾ املا جي غلطي لاءِ ڪهڙي سزا تجويز ڪئي؟,قائمہ ڪميٽي قرآن پاڪ ۾ صورت خطي جي غلطي ۽ ڄاڻي واڻي ڪري اوراق کي نقصان پهچائڻ تي هڪ لک رپيا جرمانو ۽ ڇهه مهينا قيد جي سزا تجويز ڪئي.
انٽرنيٽ تي قرآن پاڪ جي نسخن ۾ غلطيون ٿيڻ تي قانون ڪنهن تي لاڳو ٿيندو؟,اختيارين ٻڌايو ته انٽرنيٽ تي قرآن پاڪ جي نسخن ۾ غلطيون ٿيڻ تي به قانون لاڳو ٿيندو.
احترام رمضان آرڊيننس 1980 ڇا آهي؟,احترام رمضان آرڊيننس 1980 هڪ قانون آهي جيڪو رمضان جي مهيني دوران احترام سان رويي جون گهرجون بيان ڪري ٿو.
روزو ڇا آهي؟,"روزو هڪ اسلامي عبادت آهي جنهن ۾ مسلمان صبح کان سج لهڻ تائين کائڻ، پيئڻ ۽ جنسي تعلقات کان پرهيز ڪن ٿا."
احترام رمضان آرڊيننس جي ڀڃڪڙي تي سزا ڇا ٿي سگهي ٿي؟,"احترام رمضان آرڊيننس جي ڀڃڪڙي تي سزا قانون جي نوعيت تي دارومدار رکي ٿي، جنهن ۾ جرمانو، قيد يا ٻئي سزائون شامل ٿي سگهن ٿيون."
احترام رمضان آرڊيننس تحت ڪهڙيون پابنديون ٿي سگهن ٿيون؟,"احترام رمضان آرڊيننس تحت روزي جي حفاظت، عبادت جي آزادي ۽ مذهبي احترام لاءِ مختلف پابنديون لاڳو ٿي سگهن ٿيون."
احترام رمضان آرڊيننس ڪهڙي حڪومت ۾ لاڳو ڪيو ويو؟,احترام رمضان آرڊيننس 25 جون 1981 تي جنرل ضياءُ الحق جي دور حڪومت ۾ لاڳو ڪيو ويو.
احترام رمضان آرڊيننس تحت ڪهڙيون پابنديون آهن؟,احترام رمضان آرڊيننس جو مقصد روزي دارن جي عبادت جو احترام ڪرڻ ۽ مذهبي آزادي کي يقيني بڻائڻ آهي.
احترام رمضان آرڊيننس جو مڪمل نالو ڇا آهي؟,"احترام رمضان آرڊيننس 1981 هڪ قانون آهي، جنهن جي ڀڃڪڙي تي سزا ۽ جرمانو لاڳو ٿيندو آهي."
احترام رمضان آرڊيننس 1981 جو بنياد ڇا آهي؟,احترام رمضان آرڊيننس 1981 مجموعي طور تي ڏهن دفعات تي مشتمل آهي.
آرڊيننس ۾ ڪهڙي ڳالهه جي وضاحت ڪئي وئي آهي؟,آرڊيننس ۾ سڀ کان پهريان عوامي جڳهه جي وضاحت ڪئي وئي آهي.
ڪهڙيون جڳهون عوامي جڳهن ۾ شامل آهن؟,"قانون جي دفعه 2 مطابق، هوٽل، ريسٽورنٽ، ڪينٽين، گهر، ڪمرو، خيمو، رستو، پل ۽ اهڙيون سڀ جڳهيون جتي عام ماڻهو آسانيءَ سان وڃي سگهن، عوامي جڳهون آهن."
روزي جي وقت عوامي جڳهه تي کاڌو پيئڻ جائز آهي؟,"آرڊيننس جي سيڪشن 3 تحت، روزو رکندڙ شخص لاءِ عوامي جڳهه تي کاڌو، پيئڻ ۽ سگريٽ نوشي منع ٿيل آهي."
روزي جي وقت کاڌي جي سهولت ڏيڻ ڇو منع آهي؟,"آرڊيننس جي سيڪشن 4 تحت، رمضان دوران ڪنهن هوٽل، ريسٽورنٽ يا عوامي جڳهه تي روزي واري وقت کاڌي جي سهولت ڏيڻ يا آفر ڪرڻ منع ٿيل آهي."
ڪٿي کاڌي جي شيون تيار ڪري سگھجن ٿيون؟,"سيڪشن 5 موجب، کاڌو تيار ڪرڻ اسپتال جي باورچي خاني، ريلوي اسٽيشن، ايئرپورٽ، بس اسٽينڊ ۽ اسڪول جي ڪچن ۾ جائز آهي، ۽ مريضن لاءِ کاڌو مهيا ڪرڻ منع ناهي."
سج لهڻ کانپوءِ ٽن ڪلاڪن تائين ڪهڙا ادارا بند رهن ٿا؟,"سيڪشن 6 تحت، سج لهڻ کانپوءِ ٽي ڪلاڪ تائين سڀ سينما هال، ٿيٽر ۽ اهڙا ادارا بند رهن ٿا. ڀڃڪڙي تي مالڪ يا مينيجر کي قيد يا جرمانو ٿي سگهي ٿو."
گرفتار ڪرڻ جو اختيار ڪنهن وٽ آهي؟,"سيڪشن 7 تحت، ميجسٽريٽ، ضلع ڪائونسل جو چيئرمين، زڪوات و عشر ڪميٽي جو ميمبر ۽ ميونسپل ڪارپوريشن جو ميئر جرم ڏسڻ تي گرفتار ڪرڻ جا اختيار رکن ٿا."
ڪهڙا ماڻهو کاڌو وٺي سگهن ٿا؟,"سيڪشن 9 موجب، اسپتال جي ڪينٽن ۾ مريض، بس/ريلوي اسٽيشنن تي ٽڪيٽ رکندڙ مسافر، ۽ پرائمري اسڪولن جا نابالغ شاگرد کاڌو وٺي سگهن ٿا."
احترام رمضان آرڊيننس 1981 ۾ ترميم جو بل ڪهڙي ڪميٽي منظور ڪيو؟,سينيٽ جي قائمہ ڪميٽي براءِ مذهبي امور احترام رمضان آرڊيننس 1981 ۾ ترميم جو بل منظور ڪيو.
روزي جي وقت عوامي جڳهه تي کاڌو پيئڻ تي ڇا سزا آهي؟,"بل مطابق، رمضان ۾ روزو رکندڙ وقت عوامي جڳهه تي کاڌو يا سگريٽ پيئڻ تي 500 رپيا جرمانو ۽ 3 مهينا قيد، جڏهن ته ٽي وي ۽ سينما تي 50 هزار رپيا جرمانو لڳندو."
احترام رمضان آرڊيننس ڪهڙي حڪومت ۾ منظور ٿيو؟,احترام رمضان آرڊيننس 1981 ۾ جنرل ضياءُ الحق جي حڪومت ۾ منظور ڪيو ويو هو.
هن قانون تحت پابندي ڪنهن تي لاڳو ڪئي وئي آهي؟,"هن قانون تحت، جيڪو به شخص اسلام ۾ روزو رکڻ جو پابند آهي، اُهو عوامي جڳهن تي کاڌو يا پيئڻ نٿو سگهي. ڀڃڪڙي تي ٽي مهينا قيد ۽ 500 رپيا جرمانو ٿيندو."
پابندي ڪهڙي قسم جي مالڪن تي لاڳو ٿئي ٿي؟,هوٽلن جي مالڪن تي پڻ پابندي لاڳو آهي ته روزي جي وقت ماڻهن کي کاڌو فراهم نه ڪن.
آرڊيننس ۾ ڪير مستثنيٰ ڪيو ويو؟,"آرڊيننس تحت اسپتالن، مسافرن ۽ پرائمري اسڪول جي ٻارن کي مستثنيٰ قرار ڏنو ويو آهي."
ڇا رمضان آرڊيننس 1981 تحت عوام تي کائڻ ۽ پيئڻ جي پابندي آهي؟,"دفعه 9 تحت، عوامي جڳهن تي ڪو به شخص جيڪو اسلام موجب روزو رکڻ جو پابند آهي، سرعام کائڻ يا پيئڻ نٿو ڪري سگهي."
احترام رمضان آرڊيننس ۾ ترميم جي بل کي ڪهڙي قومي ڪميٽي منظور ڪيو؟,قومي اسيمبلي جي قائمہ ڪميٽي براءِ احترام رمضان آرڊيننس ترميمي بل منظور ڪيو.
روزي جي وقت ڪهڙا ادارا بند رهن ٿا؟,"سيڪشن 6 موجب، سينما هال، ٿيٽر ۽ ٻيا ادارا سج لهڻ کانپوءِ ٽن ڪلاڪن تائين بند رهن ٿا."
روزي جي وقت کاڌو پيئڻ تي ڇا جرمانو آهي؟,"آرڊيننس مطابق، رمضان ۾ روزي جي وقت کائڻ يا پيئڻ يا سگريٽ نوشي ڪرڻ تي 500 رپيا جرمانو آهي."
روزي دوران ڪهڙين جڳهن تي کاڌو کائڻ جي اجازت آهي؟,"دفعه 5 تحت، مسافرن کي ريلوي اسٽيشن، ايئرپورٽ، بحري اڊو ۽ بس اسٽينڊ تي کاڌو کائڻ جي اجازت آهي."
توهين رسالت جي ڪيسن جو طريقيڪار ڇا آهي؟,توهين رسالت جي ڪيسن ۾ تحقيق جو طريقيڪار مختلف ملڪن ۾ مختلف هوندو آهي.
تحقيق دوران ڪهڙا ڪم ڪيا ويندا آهن؟,"تحقيق دوران واقعي جي جاءِ تي وڃڻ، شاهدن کان پڇا ڳاڇا ۽ ثبوت گڏ ڪرڻ شامل آهن."
توهين رسالت جي ڪيسن ۾ ڪير گرفتار ٿي سگهي ٿو؟,جيڪڏهن تحقيق ۾ ڏوهه ثابت ٿئي ته پوليس يا ٻيو قانون لاڳو ڪندڙ ادارو ملزم کي گرفتار ڪري سگهي ٿو.
توهين رسالت جي ڪيس ۾ ڪير فيصلو ڪندو؟,توهين رسالت جي ڪيس ۾ عدالت فيصلو ڪندي.
توهين رسالت جي ڪيسن ۾ تحقيق حساس ڇو آهي؟,توهين رسالت جي ڪيسن ۾ تحقيق جو عمل حساس آهي ڇو ته اهو مذهبي جذبن کي متاثر ڪري سگهي ٿو.
توهين رسالت جي ڪيسن جي تحقيق جو طريقيڪار ڪهڙي بنياد تي آهي؟,توهين رسالت جي ڪيسن جي تحقيق جو طريقيڪار هر ملڪ جي قانوني نظام تي دارومدار رکي ٿو.
توهين رسالت جي ڪيسن ۾ ڪيس ڪير داخل ڪري سگهي ٿو؟,توهين رسالت جو ڪيس داخل ڪرڻ لاءِ ڪنهن به فرد يا تنظيم کي پوليس يا قانون لاڳو ڪندڙ اداري کي شڪايت داخل ڪرڻي پوندي.
تحقيقات دوران ڪهڙا قدم کنيا وڃن ٿا؟,تحقيقات دوران شاهدن جا بيان ۽ ٻيا ثبوت گڏ ڪيا وڃن ٿا.
ڪيس ۾ جوابدار جا ڪهڙا حق آهن؟,جوابدار کي ڪيس ۾ الزام جو جواب ڏيڻ جو موقعو ملي ٿو.
قضائي عدالت ڪيس تي ڪڏهن فيصلو ڪندي؟,قضائي عدالت ڪيس جي ٻڌڻي کانپوءِ فيصلو ڪندي آهي.
اسلامي قانوني نظام ۾ ڏوهن جي سزا ڪيئن مقرر ٿيندي آهي؟,اسلامي قانوني نظام ۾ ڏوهن جي سزا هر ملڪ جي قانونن جي مطابق مقرر ڪئي ويندي آهي.
ڪيس جي تحقيقات ۾ ڪهڙا ثبوت استعمال ٿين ٿا؟,"ان ۾ شاهدين جا بيان، تصويرون، وڊيو، رڪارڊنگ، دستاويزات ۽ ٻيا ثبوت شامل ٿي سگهن ٿا."
توهين رسالت جي ڪيس ۾ ملزم ڇا ڪري سگهي ٿو؟,"ملزم وڪيل يا قانوني مشاور سان رابطو ڪري، الزام جو جواب ڏئي سگهي ٿو."
ڇا عدالت سزا جو فيصلو قرآن جي حدن موجب ڪري سگهي ٿي؟,"عدالت قانوني سزا مقرر ڪري ٿي، جنهن ۾ قيد، جرمانو يا ٻئي شامل ٿي سگهن ٿا."
توهين رسالت جي ڪيسن ۾ دفاع ڇو اهم آهي؟,ملزم کي الزام جو جواب ڏيڻ جو موقعو ملڻ سندس بنيادي حق آهي.
ڪيس جي تفصيل لاءِ ڪنهن سان رابطو ڪري سگهجي ٿو؟,"توهان پنهنجي ملڪ يا علائقي جي قانوني ماهر يا اداري سان رابطو ڪريو، مڪمل معلومات حاصل ڪرڻ لاءِ."
ڇا توهين رسالت جي سزا رڳو موت آهي؟,1990 ۾ وفاقي شريعت عدالت 295-C تحت فقط موت جي سزا مقرر ڪئي.
قتل بابت ڪهڙا قانون آهن؟,"قتل ۾ عمدي، غيرعمدي، قصاص، ديت ۽ دم جا قانون شامل آهن."
چوري جي سزا ڇا آهي؟,"چوري لاءِ حد، سرقو ۽ ضبط ٿيل مال جي واپسي جا قانون لاڳو ٿين ٿا."
توهين مذهب جي الزام ۾ ڪيترا ماڻهو قتل ٿيا آهن؟,1990 کان اڄ تائين پاڪستان ۾ 69 ڄڻا هجوم هٿان قتل ڪيا ويا.
پاڪستان ۾ توهين مذهب جي الزام ۾ ڪيترا ماڻهو موت جي سزا جو انتظار ڪري رهيا آهن؟,پاڪستان ۾ تقريباً 40 ماڻهو توهين مذهب جي الزام ۾ موت يا عمر قيد جي سزا جو انتظار ڪري رهيا آهن.
ضياءُ الحق ڇا ڪيو؟,"جنرل ضياءُ الحق پنهنجي دور ۾ آئين ۾ تبديليون ڪيون، پنج شقون توهين مذهب جي قانون ۾ شامل ڪيون."
توهين مذهب جي سزا ڇا آهي؟,"قرآن جي بي حرمتي تي عمر قيد، ۽ پيغمبر ﷺ جي شان ۾ گستاخي تي موت يا عمر قيد ۽ جرمانو لاڳو ٿيندو آهي."
ڇا مذهب سان لاڳاپيل ڏوهن جي سزا بابت قانون موجود آهي؟,مذهب سان لاڳاپيل ڏوه ۽ سندن سزائون مختلف مذهبي ۽ قانوني نظامن تي دارومدار رکن ٿيون.
ڇا قانون توهين مذهب جي الزام تي بيانيه يا تشدد جي سزا مقرر ڪري ٿو؟,قانون توهين مذهب جي الزام تي بيان يا تشدد جي سزا مقرر ڪرڻ جو اختيار رکي ٿو.
توهين مذهب جي قانون جي تاريخ ڇا آهي؟,توهين مذهب جا قانون قديم دور کان مختلف ملڪن ۾ مختلف وقتن تي ٺاهيا ويا.
توهين مذهب جي قانون تحت ڪهڙا عمل شامل آهن؟,مذهبي عقيدي يا مقدس شخصيت جي بي حرمتي يا خراب بيان ڏيڻ توهين مذهب جي قانون ۾ اچي ٿو.
توهين مذهب جي الزام ۾ ڪهڙا ثبوت ضروري آهن؟,"الزام لاءِ عام طور بيان، شاهد، مقدس شخصيت جي بي حرمتي يا خطري جا ثبوت ضروري آهن."
پاڪستان ۾ مذهبي ڏوهن جي سزائن جي شروعات ڪڏهن ٿي؟,پاڪستان ۾ مذهبي ڏوهن جون سزائون برطانوي هندستان جي دور کان لڳڻ شروع ٿيون.
ڪهڙا سيڪشنز مذهبي ڏوهن جي قانون ۾ شامل آهن؟,"سيڪشن 295، 296، 297، 298 (1860) ۽ 295-A (1927) شامل آهن."
جنرل ضياءُ الحق جي دور ۾ ڪهڙا قانون متعارف ٿيا؟,جنرل ضياءُ الحق جي دور ۾ توهين مذهب خلاف خاص طور اسلام سان لاڳاپيل قانون شامل ڪيا ويا.
ڪهڙا سيڪشنز توهين مذهب خلاف قانون ۾ شامل آهن؟,"سيڪشن 295-B (1982)، 295-C (1986)، 298-A (1980)، 298-B ۽ 298-C (1984) شامل آهن."
پاڪستان جي قانون ۾ سڀ کان وڌيڪ استعمال ٿيندڙ قانون ڪهڙو آهي؟,"سيڪشن 295-A، 295-B، 295-C، ۽ 298-A سڀ کان وڌيڪ استعمال ٿين ٿا."
پاڪستان بار ڪائونسل ڇا آهي؟,"پاڪستان بار ڪائونسل هڪ تنظيم آهي، جيڪا غريب ۽ گهٽ آمدني وارن کي قانوني مدد فراهم ڪري ٿي."
پاڪستان بار ڪائونسل کان مفت قانوني مدد ڪيئن ملي سگهي ٿي؟,"پاڪستان بار ڪائونسل جي دفتر سان رابطو ڪري، مفت قانوني مدد حاصل ڪري سگهجي ٿي."
پاڪستان بار ڪائونسل جا وڪيل ڇا ڪندا آهن؟,وڪيل توهان جي ڪيس جو جائزو وٺي ٻڌائيندا ته مدد ڪري سگهن ٿا يا نه.
پاڪستان بار ڪائونسل جي ضرورت ڪنهن کي پئجي سگهي ٿي؟,پاڪستان بار ڪائونسل جي مدد غريب ۽ گهٽ آمدني وارن لاءِ قانوني حق حاصل ڪرڻ جو بهترين ذريعو آهي.
قومي سطح تي قانوني مدد جو ذميوار ڪير آهي؟,پاڪستان بار ڪائونسل قومي سطح تي قانوني مدد ڏيڻ جي ذميوار آهي.
وفاقي شرعي عدالت ڪڏهن قائم ٿي؟,جنرل ضياءُ الحق جي دور ۾ 1980ع ۾ وفاقي شرعي عدالت قائم ڪئي وئي.
وفاقي شرعي عدالت جا فيصلا ڪڏهن حتمي ٿين ٿا؟,"جيستائين حڪومت سپريم ڪورٽ شريعت ايپليٽ ڪورٽ ۾ اپيل نه ڪري، فيصلا حتمي آهن."
وفاقي شرعي عدالت 1990ع ۾ ڪهڙي قانون تحت موت جي سزا واجب قرار ڏني؟,1990ع ۾ وفاقي شرعي عدالت 295-C تحت موت جي سزا لازم قرار ڏني.
پاڪستان بار ڪائونسل ڇا آهي؟,پاڪستان بار ڪائونسل (PBC) هڪ پيشه ور تنظيم آهي جيڪا قانوني پيشي ۾ معيار ۽ اخلاقيات قائم رکي ٿي.
صوبائي بار ڪائونسل تحت ڪهڙا قانون ٺاهيا ويندا آهن؟,"وڪيلن جي رجسٽريشن، لائسنس، ضابطن ۽ پيشورانه ترقي لاءِ قانون ٺاهيا وڃن ٿا."
صوبائي بار ڪائونسل بابت وڌيڪ معلومات ڪيئن حاصل ڪري سگهجي ٿي؟,وڌيڪ تفصيل لاءِ پنهنجي علائقي جي صوبائي بار ڪائونسل سان رابطو ڪريو.
اسلام ۾ موسيقي بابت قانون ڇا آهي؟,اسلام ۾ موسيقي جي ممانعت جو ڪو قانون ناهي.
مزارن ۾ موسيقي جي ممانعت ڪهڙن ملڪن ۾ مختلف آهي؟,مزارن ۾ موسيقي جي پابندي مختلف ملڪن ۾ مختلف ٿي سگهي ٿي.
ڇا مزارن ۾ موسيقي جي پابندي تي عمل ٿيندو آهي؟,"سعودي عرب، افغانستان، يمن ۽ ڪجهه ٻين ملڪن ۾ مزارن ۾ موسيقي تي سخت پابندي ۽ سزا عمل ۾ آندي ويندي آهي."
پاڪستان بار ڪائونسل لاءِ ڪهڙا قانون آهن؟,وڪيلن جي تعليم ۽ ضابطن جي ترتيب لاءِ ڪجه مخصوص قانون لاڳو ٿين ٿا.
پاڪستان بار ڪائونسل جو لائحہ عمل ڇا آهي؟,پاڪستان بار ڪائونسل وڪيلن جي رويي ۽ اخلاقي اصولن لاءِ لائحہ عمل مقرر ڪيو آهي.
پاڪستان بار ڪائونسل جا قومي قانون ڇا آهن؟,پاڪستان بار ڪائونسل کي قومي قانونن جي روشني ۾ ضابطا ٺاهڻ جو اختيار آهي.
پي بي سي قانون جي تعليم لاءِ ڪهڙا قاعدا آهن؟,پي بي سي لاءِ ضروري آهي ته سڀني وڪيلن وٽ قانون جي ڊگري هجي.
